log_q,log_p,log_y,share,log_hhsize,log_driver,log_hhr_age,total_wrkr,publictransit_d,cl5_smtown_d,cl5_suburban_d,cl5_secondcity_d,cl5_urban_d,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,state_fips,distance_oil1000
8.143545,0.22980732,9.433484,0.34641027,1.609438,1.3862944,3.465736,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0.6570877
8.034972,0.22990915,11.119883,0.05755571,1.0986123,0.6931472,3.6109178,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.6570877
7.608235,0.22982599,10.768485,0.05337439,1.0986123,0.6931472,3.2580965,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0.6570877
7.452868,0.22980712,11.695247,0.018086817,1.0986123,0.6931472,3.465736,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
7.807454,0.22978619,11.695247,0.02578386,1.3862944,1.0986123,3.9318256,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
7.6964664,0.22990376,11.191341,0.03819802,1.3862944,0.6931472,3.6109178,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0.6570877
6.9479775,0.22975436,9.769957,0.07485335,1.3862944,0.6931472,3.5263605,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
7.1893845,0.22999138,10.95954,0.029008556,1.3862944,0.6931472,3.2580965,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0.6570877
7.286105,0.22975786,11.695247,0.015307932,1.0986123,0.6931472,3.583519,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0.6570877
7.428846,0.2297086,10.95954,0.03684683,1.3862944,0.6931472,3.7612002,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
6.685521,0.22936775,9.769957,0.057551946,1.0986123,0.6931472,4.3307333,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.6570877
5.857618,0.22974025,9.769957,0.025157526,1.3862944,0.6931472,3.0910425,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.6570877
6.3631005,0.22980845,9.769957,0.041708622,1.3862944,0.6931472,3.218876,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
7.1800876,0.22966275,11.407565,0.018355709,1.0986123,0.6931472,3.4339871,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0.6570877
7.802073,0.22986236,11.695247,0.025647435,1.0986123,0.6931472,3.7376697,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0.6570877
7.6693087,0.2297718,11.695247,0.02245669,1.7917595,1.3862944,3.7612002,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0.6570877
6.750773,0.22990745,11.119883,0.015935557,1.3862944,0.6931472,3.7612002,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
7.1413455,0.22963223,10.532096,0.042378318,1.0986123,0.6931472,3.3322046,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
7.623254,0.22975653,11.695247,0.021445584,1.3862944,1.0986123,2.8903718,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
