log_q,log_p,log_y,share,log_hhsize,log_driver,log_hhr_age,total_wrkr,publictransit_d,cl5_smtown_d,cl5_suburban_d,cl5_secondcity_d,cl5_urban_d,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,state_fips,distance_oil1000
6.891915,0.22970168,11.407565,0.013760562,1.3862944,0.6931472,3.713572,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.6570877
6.558198,0.22965792,10.95954,0.015426253,1.0986123,0.6931472,3.3322046,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
6.5217276,0.22956364,11.407565,0.009501801,1.3862944,1.3862944,3.912023,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0.6570877
6.964819,0.22963868,11.695247,0.011100233,1.609438,0.6931472,3.713572,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0.6570877
7.540132,0.22973399,10.768485,0.049855866,1.3862944,1.0986123,2.8903718,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
6.8012304,0.22955179,10.657259,0.026609764,1.0986123,0.6931472,3.9318256,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.6570877
6.4829044,0.22954221,11.258033,0.010613943,1.0986123,0.6931472,3.465736,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0.6570877
7.2256227,0.22966664,10.768485,0.03639966,1.0986123,0.6931472,3.6635616,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
7.4206476,0.22982134,11.119883,0.031135272,1.0986123,0.6931472,3.4011974,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.6570877
7.474922,0.22984388,11.407565,0.024654424,1.0986123,0.6931472,3.637586,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
7.5841856,0.22990328,11.191341,0.03414111,1.609438,1.3862944,3.871201,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
7.714618,0.2298112,11.695247,0.023498526,1.3862944,0.6931472,3.4339871,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.6570877
7.893603,0.22984882,11.695247,0.028105345,1.609438,0.6931472,3.6635616,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0.6570877
7.6150913,0.22987343,10.95954,0.044397354,1.3862944,0.6931472,3.4965076,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
7.2846646,0.22974242,11.695247,0.01528566,1.609438,0.6931472,3.6109178,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.6570877
6.9881473,0.22969127,11.695247,0.011362821,1.0986123,0.6931472,3.465736,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0.6570877
8.318436,0.2298651,10.95954,0.08970403,1.0986123,0.6931472,3.3322046,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6570877
8.089861,0.22982399,11.191341,0.056605052,1.3862944,0.6931472,3.583519,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
7.554948,0.22983299,11.191341,0.03315502,1.3862944,0.6931472,3.7376697,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
5.001174,0.22911523,10.021271,0.008304305,1.3862944,0.6931472,3.4339871,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0.6570877
7.5966873,0.22987476,11.191341,0.03456962,1.3862944,0.6931472,3.3322046,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6570877
6.76189,0.22988746,10.221941,0.03955102,1.0986123,0,3.0445225,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0.6570877
6.9223084,0.30015847,10.95954,0.023823721,1.7917595,0.6931472,3.4011974,1,0,0,1,0,0,0,0,0,1,0,0,0,4,2.14095
7.2477946,0.30024314,11.695247,0.01580847,1.7917595,0.6931472,3.6109178,1,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
7.929395,0.3001657,11.191341,0.05172671,1.3862944,1.0986123,3.0445225,3,0,1,0,0,0,0,0,0,1,0,0,0,4,2.14095
7.2669964,0.30039403,10.868568,0.036839746,1.3862944,0.6931472,3.3322046,2,0,0,1,0,0,0,0,0,1,0,0,0,4,2.14095
6.8865314,0.30013162,11.695247,0.011014047,1.0986123,0.6931472,3.5263605,1,0,0,1,0,0,0,0,1,0,0,0,0,4,2.14095
7.2655487,0.30023786,11.695247,0.016091555,1.3862944,0.6931472,3.637586,2,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
7.0738826,0.29999068,10.768485,0.033553585,1.3862944,0.6931472,3.583519,1,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
7.3295894,0.30052713,11.119883,0.030507993,1.3862944,0.6931472,3.6888795,2,0,1,0,0,0,0,0,0,0,0,0,0,4,2.14095
7.1065288,0.30041477,10.95954,0.028650146,1.0986123,0.6931472,3.637586,2,0,0,0,0,1,0,0,0,0,1,0,0,4,2.14095
7.410184,0.30036286,11.695247,0.01859802,1.3862944,1.0986123,3.8286414,1,0,0,1,0,0,0,0,0,1,0,0,0,4,2.14095
7.509228,0.3003642,10.95954,0.042854354,1.3862944,0.6931472,3.295837,1,0,0,1,0,0,0,0,1,0,0,0,0,4,2.14095
6.737651,0.300134,10.868568,0.021692615,1.0986123,0.6931472,3.6888795,0,0,0,1,0,0,0,0,0,1,0,0,0,4,2.14095
5.8680787,0.29943275,10.221941,0.017345369,1.3862944,0.6931472,3.465736,2,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
7.9960065,0.3004672,11.695247,0.033414233,1.7917595,1.0986123,3.637586,1,0,0,1,0,0,0,0,0,1,0,0,0,4,2.14095
8.056984,0.30038854,11.407565,0.047349792,1.3862944,1.0986123,3.637586,2,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
7.8054366,0.30031025,11.119883,0.049088217,1.3862944,0.6931472,3.7376697,2,0,0,1,0,0,1,0,0,0,0,0,0,4,2.14095
6.4684196,0.30030972,11.119883,0.012891932,1.3862944,0.6931472,3.713572,2,0,0,0,0,1,0,0,0,0,1,0,0,4,2.14095
7.3183413,0.3003522,11.119883,0.030161483,1.3862944,0.6931472,3.583519,2,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
6.473459,0.29993963,11.407565,0.009714201,1.0986123,0.6931472,3.6109178,1,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
7.2941637,0.30026805,10.868568,0.037849534,1.0986123,0.6931472,3.2580965,1,0,1,0,0,0,0,0,0,0,1,0,0,4,2.14095
7.4072013,0.30035773,10.768485,0.046844304,1.0986123,0.6931472,3.6635616,1,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
5.6594257,0.3000753,11.119883,0.005739507,1.3862944,0.6931472,3.9318256,2,0,0,0,0,1,0,0,0,0,1,0,0,4,2.14095
7.517604,0.30032235,10.021271,0.11043322,1.0986123,0.6931472,3.2580965,2,0,0,1,0,0,0,1,0,0,0,0,0,4,2.14095
5.452641,0.29964286,10.388995,0.009689511,1.609438,0.6931472,3.7841897,1,0,1,0,0,0,0,0,0,1,0,0,0,4,2.14095
7.3592277,0.30036366,10.657259,0.049903315,1.7917595,1.3862944,3.5553482,3,0,0,0,0,1,0,0,0,1,0,0,0,4,2.14095
7.7018814,0.30044425,11.119883,0.04426516,1.3862944,0.6931472,3.6635616,1,0,1,0,0,0,0,1,0,0,0,0,0,4,2.14095
5.757933,0.3001471,10.221941,0.015547409,1.0986123,0,3.713572,1,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
6.5447216,0.30033162,11.258033,0.01211901,1.3862944,0.6931472,3.4011974,2,0,0,0,1,0,0,0,1,0,0,0,0,4,2.14095
5.6447344,0.29990086,9.769957,0.021811433,1.609438,0.6931472,3.218876,1,0,0,0,0,1,0,0,0,0,1,0,0,4,2.14095
7.3009315,0.30030373,11.695247,0.016672216,1.3862944,0.6931472,3.713572,2,0,0,1,0,0,0,0,0,0,0,1,0,4,2.14095
7.963905,0.30038157,10.95954,0.06752526,1.7917595,1.3862944,2.8903718,4,0,0,0,0,1,0,0,0,0,0,1,0,4,2.14095
6.881735,0.30019784,11.695247,0.010962067,1.3862944,0.6931472,3.6109178,1,0,0,1,0,0,0,0,0,1,0,0,0,4,2.14095
7.148578,0.30003768,10.95954,0.02986929,1.7917595,0.6931472,3.465736,1,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
5.8162374,0.30056995,10.657259,0.010668583,1.0986123,0.6931472,3.4965076,2,0,0,1,0,0,0,0,1,0,0,0,0,4,2.14095
7.376155,0.3003362,11.042922,0.0345126,1.3862944,0.6931472,3.218876,1,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
6.9467645,0.3002874,11.258033,0.01811561,1.0986123,0.6931472,3.7376697,2,0,0,1,0,0,0,0,1,0,0,0,0,4,2.14095
7.787911,0.30039862,10.768485,0.06855114,1.0986123,0.6931472,3.6635616,1,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
6.8843656,0.3000464,10.221941,0.04795321,1.3862944,1.0986123,3.713572,2,0,1,0,0,0,1,0,0,0,0,0,0,4,2.14095
6.933986,0.30020007,11.191341,0.019117413,1.7917595,1.0986123,3.7612002,3,0,1,0,0,0,0,0,1,0,0,0,0,4,2.14095
6.4414988,0.299875,11.695247,0.007056026,1.0986123,0.6931472,3.6109178,2,0,0,0,0,1,0,0,0,1,0,0,0,4,2.14095
7.0075603,0.30004305,11.042922,0.023865566,1.609438,1.3862944,3.4965076,3,0,0,1,0,0,0,0,0,1,0,0,0,4,2.14095
6.7051253,0.3003601,11.119883,0.01633578,1.3862944,0.6931472,3.6888795,2,0,0,0,0,1,0,0,0,1,0,0,0,4,2.14095
7.645615,0.30030796,11.191341,0.03895225,1.609438,1.0986123,3.7612002,2,0,0,1,0,0,0,0,0,1,0,0,0,4,2.14095
7.0152154,0.30031103,11.191341,0.020737419,1.0986123,0.6931472,3.8501475,2,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
7.1265063,0.3009413,11.695247,0.014012584,1.609438,0.6931472,3.583519,1,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
7.088016,0.29992753,11.695247,0.013469823,1.3862944,0.6931472,3.8286414,2,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
6.956575,0.30037698,10.388995,0.043628544,1.3862944,0.6931472,3.7841897,2,0,0,0,0,1,0,0,1,0,0,0,0,4,2.14095
6.602339,0.30011034,10.768485,0.020941224,1.3862944,1.0986123,3.7376697,1,0,0,0,0,1,0,0,0,0,1,0,0,4,2.14095
7.8770747,0.30037338,11.407565,0.03955287,1.0986123,0.6931472,4.0943446,2,0,0,1,0,0,0,0,0,1,0,0,0,4,2.14095
6.9615593,0.30040303,10.021271,0.06333556,1.609438,0,3.7376697,4,0,1,0,0,0,0,0,1,0,0,0,0,4,2.14095
5.534071,0.30007997,10.388995,0.010516138,1.3862944,0.6931472,3.218876,2,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
7.328852,0.30048203,7.824046,0.8230718,1.609438,0.6931472,3.4011974,1,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
7.290116,0.30031404,11.119883,0.029320955,1.609438,0.6931472,3.465736,2,0,1,0,0,0,0,0,0,0,1,0,0,4,2.14095
7.49776,0.30031607,11.407565,0.02706567,1.3862944,0.6931472,3.8286414,2,0,1,0,0,0,0,0,1,0,0,0,0,4,2.14095
6.5773263,0.30006796,10.021271,0.04311534,1.609438,1.3862944,3.7841897,2,0,0,0,1,0,0,0,0,1,0,0,0,4,2.14095
7.1073647,0.3003845,11.407565,0.018319014,1.609438,0.6931472,3.4339871,2,0,0,1,0,0,1,0,0,0,0,0,0,4,2.14095
7.1707506,0.3002555,11.407565,0.019515252,1.3862944,0.6931472,3.8066626,2,0,1,0,0,0,0,0,0,0,1,0,0,4,2.14095
6.460413,0.30005702,10.532096,0.023014603,1.609438,1.0986123,4.0943446,2,0,1,0,0,0,0,0,0,0,1,0,0,4,2.14095
7.141159,0.3002897,10.95954,0.029655982,1.609438,0.6931472,3.4965076,2,0,0,1,0,0,1,0,0,0,0,0,0,4,2.14095
7.0433216,0.3001846,11.119883,0.022905542,1.3862944,0.6931472,3.465736,1,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
7.3107324,0.30036947,11.191341,0.027869008,1.3862944,0.6931472,3.295837,2,0,0,0,0,1,0,0,0,0,1,0,0,4,2.14095
8.82238,0.30035722,11.695247,0.07634373,1.9459101,1.609438,3.7612002,5,0,0,1,0,0,0,0,0,0,1,0,0,4,2.14095
6.70008,0.30063492,11.191341,0.015136791,1.3862944,0.6931472,3.7612002,2,0,0,0,1,0,0,0,0,1,0,0,0,4,2.14095
8.174098,0.300411,11.695247,0.03992558,1.609438,1.3862944,4.060443,4,0,0,1,0,0,0,0,0,1,0,0,0,4,2.14095
7.0254307,0.30026504,11.695247,0.012656917,1.7917595,0.6931472,3.4965076,2,0,1,0,0,0,0,0,0,0,0,0,0,4,2.14095
7.333888,0.30013224,11.042922,0.03307752,1.3862944,0.6931472,3.4339871,2,0,0,0,1,0,0,0,0,0,0,0,0,4,2.14095
6.986432,0.30016652,11.695247,0.012171617,1.0986123,0.6931472,4.1271343,1,0,0,0,0,1,0,0,0,1,0,0,0,4,2.14095
7.5406456,0.25062323,10.532096,0.06451695,1.3862944,0.6931472,3.4965076,2,0,1,0,0,0,1,0,0,0,0,0,0,5,0.78545296
7.383718,0.2503494,11.695247,0.017228682,1.0986123,0.6931472,3.7376697,2,0,1,0,0,0,0,1,0,0,0,0,0,5,0.78545296
6.9601912,0.25050086,10.532096,0.036102112,1.609438,1.0986123,3.7376697,2,0,1,0,0,0,1,0,0,0,0,0,0,5,0.78545296
6.8542304,0.25031868,10.221941,0.04427247,1.0986123,0.6931472,3.5553482,2,0,1,0,0,0,0,0,0,1,0,0,0,5,0.78545296
6.8261423,0.25035682,10.768485,0.024922462,1.0986123,0.6931472,3.583519,2,0,1,0,0,0,0,1,0,0,0,0,0,5,0.78545296
7.293185,0.25031674,11.695247,0.015736928,1.3862944,1.0986123,3.7612002,1,0,1,0,0,0,1,0,0,0,0,0,0,5,0.78545296
7.2238493,0.2503764,10.95954,0.030644126,1.609438,1.0986123,3.465736,2,0,1,0,0,0,1,0,0,0,0,0,0,5,0.78545296
7.881894,0.25049093,11.258033,0.04390846,1.609438,1.609438,3.8918202,2,0,0,0,1,0,0,0,0,1,0,0,0,5,0.78545296
7.082479,0.2504408,9.769957,0.08741954,1.609438,0.6931472,3.583519,2,0,1,0,0,0,1,0,0,0,0,0,0,5,0.78545296
7.4543214,0.2504902,10.95954,0.0385913,1.3862944,0.6931472,3.871201,2,0,1,0,0,0,0,1,0,0,0,0,0,5,0.78545296
7.2300005,0.25058687,11.119883,0.02627084,1.7917595,0.6931472,3.583519,2,0,1,0,0,0,0,0,0,0,1,0,0,5,0.78545296
6.872483,0.25037,11.119883,0.018370116,1.609438,0.6931472,3.637586,1,0,0,0,1,0,0,0,0,1,0,0,0,5,0.78545296
7.7079964,0.25046846,10.768485,0.060203787,1.3862944,1.0986123,3.7376697,2,0,1,0,0,0,0,0,1,0,0,0,0,5,0.78545296
7.592862,0.25055856,11.042922,0.04078254,1.3862944,0.6931472,3.7841897,2,0,0,0,1,0,0,0,0,1,0,0,0,5,0.78545296
7.079699,0.25038773,10.532096,0.040680382,1.0986123,0.6931472,3.583519,2,0,1,0,0,0,0,0,0,1,0,0,0,5,0.78545296
7.7825627,0.25056747,10.768485,0.06487099,1.3862944,0.6931472,3.465736,2,0,1,0,0,0,0,0,1,0,0,0,0,5,0.78545296
7.3014684,0.25053072,11.119883,0.028215498,1.609438,0,3.4339871,2,0,1,0,0,0,0,0,1,0,0,0,0,5,0.78545296
7.6762495,0.25060552,10.388995,0.0852523,1.0986123,0.6931472,3.4011974,2,0,0,0,1,0,0,0,1,0,0,0,0,5,0.78545296
6.8686194,0.25051486,11.695247,0.010294838,1.0986123,0.6931472,3.8286414,2,0,1,0,0,0,1,0,0,0,0,0,0,5,0.78545296
7.522892,0.25053677,10.532096,0.06337617,1.0986123,0.6931472,3.3672957,2,0,1,0,0,0,0,0,1,0,0,0,0,5,0.78545296
8.107394,0.25050494,11.695247,0.035531066,1.3862944,1.0986123,3.713572,1,0,1,0,0,0,0,1,0,0,0,0,0,5,0.78545296
7.412251,0.25052035,10.95954,0.03700253,1.3862944,0.6931472,3.4965076,2,0,1,0,0,0,0,0,1,0,0,0,0,5,0.78545296
6.9965954,0.25029445,10.768485,0.029552251,1.3862944,0.6931472,3.3322046,2,0,1,0,0,0,1,0,0,0,0,0,0,5,0.78545296
7.655063,0.2504527,11.695247,0.022601673,1.0986123,0.6931472,3.5553482,2,0,1,0,0,0,0,1,0,0,0,0,0,5,0.78545296
6.7579813,0.25028083,10.388995,0.034022506,1.609438,0.6931472,3.583519,1,0,1,0,0,0,0,0,0,1,0,0,0,5,0.78545296
5.576797,0.2501245,9.433484,0.027145002,1.3862944,0.6931472,3.1780539,1,0,1,0,0,0,0,1,0,0,0,0,0,5,0.78545296
7.419009,0.2506161,11.042922,0.03427646,1.3862944,1.0986123,3.6888795,2,0,0,0,1,0,0,0,0,1,0,0,0,5,0.78545296
7.7069397,0.2505337,11.695247,0.023807053,1.3862944,0.6931472,3.5553482,2,0,1,0,0,0,0,0,0,1,0,0,0,5,0.78545296
7.3394165,0.36151007,11.695247,0.018419959,1.0986123,0.6931472,3.5553482,2,1,0,1,0,0,0,0,1,0,0,0,0,6,2.8637257
8.199316,0.36157095,10.95954,0.090840235,1.7917595,0.6931472,3.0910425,2,1,0,0,1,0,1,0,0,0,0,0,0,6,2.8637257
7.45564,0.36171883,11.695247,0.020694476,1.609438,0.6931472,3.583519,1,1,1,0,0,0,1,0,0,0,0,0,0,6,2.8637257
6.76983,0.36137572,10.532096,0.033343572,1.609438,1.0986123,3.637586,1,1,0,1,0,0,0,0,0,0,1,0,0,6,2.8637257
7.7561088,0.36168262,11.191341,0.04625663,1.0986123,0.6931472,3.9318256,1,0,0,1,0,0,0,0,0,1,0,0,0,6,2.8637257
7.299716,0.36154702,11.119883,0.031473175,1.0986123,0.6931472,3.5263605,2,1,0,0,1,0,0,0,0,1,0,0,0,6,2.8637257
7.4620667,0.3615809,11.407565,0.027766718,1.0986123,0.6931472,3.637586,2,1,0,0,1,0,0,0,0,0,1,0,0,6,2.8637257
7.195148,0.361479,11.042922,0.030614091,1.3862944,1.0986123,3.8286414,2,1,0,1,0,0,0,0,0,0,1,0,0,6,2.8637257
5.84522,0.3603107,11.695247,0.004129016,1.3862944,0.6931472,3.6888795,2,1,0,0,0,1,0,0,0,0,1,0,0,6,2.8637257
6.917265,0.3611315,11.407565,0.016096259,1.3862944,0.6931472,3.8501475,2,1,0,0,0,1,0,0,0,0,0,1,0,6,2.8637257
6.479231,0.36165938,11.695247,0.007794345,1.0986123,0.6931472,3.6109178,2,1,1,0,0,0,1,0,0,0,0,0,0,6,2.8637257
8.04209,0.3614081,11.258033,0.05758261,1.3862944,1.0986123,3.637586,3,0,0,1,0,0,0,0,0,0,1,0,0,6,2.8637257
6.5043902,0.36156347,10.388995,0.02950954,1.609438,0.6931472,3.218876,1,0,0,0,0,1,0,0,0,0,1,0,0,6,2.8637257
7.4238467,0.36155352,10.657259,0.05659362,1.0986123,0.6931472,3.4965076,2,0,0,0,1,0,0,0,0,0,1,0,0,6,2.8637257
6.622465,0.36114088,11.695247,0.008990013,1.0986123,0.6931472,3.8066626,1,0,0,1,0,0,0,0,0,0,1,0,0,6,2.8637257
6.93351,0.36145693,11.695247,0.012273898,1.3862944,0.6931472,3.8066626,2,1,0,0,0,1,0,0,0,0,1,0,0,6,2.8637257
7.2051005,0.36153623,11.695247,0.016105242,1.3862944,0.6931472,3.6635616,1,1,0,1,0,0,0,0,0,0,1,0,0,6,2.8637257
5.798215,0.36117843,11.258033,0.006105045,1.0986123,0.6931472,3.7841897,1,1,0,1,0,0,0,0,0,0,0,1,0,6,2.8637257
6.810289,0.36170796,10.532096,0.034731817,1.0986123,0.6931472,3.5263605,1,1,0,1,0,0,0,0,0,0,1,0,0,6,2.8637257
8.402843,0.3618339,11.407565,0.07115549,1.3862944,0.6931472,3.6635616,2,0,0,0,0,1,0,0,0,0,1,0,0,6,2.8637257
7.637295,0.3616153,11.119883,0.04411422,1.3862944,1.0986123,3.8286414,2,1,1,0,0,0,0,1,0,0,0,0,0,6,2.8637257
6.9913836,0.36163747,10.95954,0.027146177,1.3862944,0.6931472,3.912023,2,1,1,0,0,0,1,0,0,0,0,0,0,6,2.8637257
7.190948,0.36160558,11.191341,0.026284177,1.609438,0.6931472,3.6109178,2,0,0,0,1,0,0,0,1,0,0,0,0,6,2.8637257
7.499251,0.3615361,11.695247,0.021613,1.3862944,0.6931472,3.7376697,2,1,0,1,0,0,0,0,0,0,1,0,0,6,2.8637257
5.728133,0.36073998,11.042922,0.007054788,1.609438,1.3862944,3.8286414,5,1,0,0,1,0,0,1,0,0,0,0,0,6,2.8637257
7.2296352,0.36151847,11.258033,0.025556093,1.3862944,0.6931472,3.4011974,2,0,0,0,1,0,0,0,0,0,1,0,0,6,2.8637257
8.327711,0.36180544,11.695247,0.049502578,1.0986123,0.6931472,4.060443,2,1,0,1,0,0,0,0,1,0,0,0,0,6,2.8637257
7.2624235,0.3615961,11.695247,0.017056445,1.0986123,0.6931472,3.8501475,1,1,0,0,1,0,0,0,0,0,1,0,0,6,2.8637257
8.142621,0.3616484,11.695247,0.04113165,1.3862944,1.3862944,3.8501475,3,0,0,1,0,0,0,0,0,1,0,0,0,6,2.8637257
7.363056,0.36158234,11.695247,0.01886195,1.0986123,0.6931472,3.8066626,2,0,0,1,0,0,0,1,0,0,0,0,0,6,2.8637257
7.0403047,0.36136252,11.695247,0.013655951,1.3862944,0.6931472,3.6635616,2,1,0,0,0,1,0,0,0,0,1,0,0,6,2.8637257
7.5952983,0.36159062,11.407565,0.03172418,1.609438,0.6931472,3.4339871,2,0,0,1,0,0,0,0,0,0,1,0,0,6,2.8637257
6.9200625,0.36152843,10.021271,0.06459103,1.0986123,0.6931472,3.218876,1,1,0,1,0,0,0,0,1,0,0,0,0,6,2.8637257
8.080804,0.3616221,10.95954,0.08069212,1.7917595,1.609438,3.988984,4,1,1,0,0,0,0,0,0,0,1,0,0,6,2.8637257
6.4954314,0.3609582,11.695247,0.007916094,1.3862944,0.6931472,3.5263605,2,1,0,1,0,0,0,0,0,0,0,1,0,6,2.8637257
7.2560277,0.36150077,11.695247,0.016946081,1.0986123,0.6931472,3.4965076,2,1,0,1,0,0,0,0,0,0,0,1,0,6,2.8637257
7.5997214,0.36161655,11.695247,0.023899227,1.0986123,0.6931472,3.4965076,2,1,0,1,0,0,0,0,0,0,1,0,0,6,2.8637257
7.25537,0.36112934,11.191341,0.028019838,1.0986123,0.6931472,3.8286414,2,1,0,0,0,1,0,0,0,0,0,1,0,6,2.8637257
6.5454164,0.3612434,10.95954,0.017372258,1.0986123,0.6931472,3.583519,2,0,0,0,1,0,0,0,0,0,1,0,0,6,2.8637257
5.6257963,0.36107743,8.922658,0.053089045,1.3862944,0,3.6109178,0,0,1,0,0,0,1,0,0,0,0,0,0,6,2.8637257
7.708078,0.3615452,11.695247,0.026632473,1.609438,1.0986123,3.713572,2,1,0,1,0,0,0,0,0,0,1,0,0,6,2.8637257
8.275944,0.3615139,10.388995,0.17350699,1.0986123,0.6931472,3.8066626,2,1,0,0,0,1,0,0,0,0,0,1,0,6,2.8637257
6.9990563,0.3613478,10.388995,0.04838376,1.609438,0.6931472,3.3322046,1,0,0,1,0,0,0,0,0,1,0,0,0,6,2.8637257
7.858129,0.36164445,11.695247,0.030947173,1.3862944,0.6931472,3.637586,2,1,1,0,0,0,0,0,1,0,0,0,0,6,2.8637257
6.4746203,0.3614399,10.388995,0.028640458,1.3862944,0.6931472,3.583519,2,1,0,0,0,1,0,0,0,0,1,0,0,6,2.8637257
6.4628124,0.36169368,11.695247,0.007667683,1.0986123,0.6931472,4.0073333,1,1,0,0,1,0,0,0,0,0,1,0,0,6,2.8637257
5.224707,0.36058778,11.119883,0.003947835,1.0986123,0.6931472,3.6109178,1,1,0,0,0,1,0,0,1,0,0,0,0,6,2.8637257
7.096568,0.36138153,11.042922,0.027737435,1.0986123,0.6931472,3.465736,2,0,0,1,0,0,0,0,0,0,0,1,0,6,2.8637257
7.021671,0.36127445,11.407565,0.017870218,1.3862944,0.6931472,3.6888795,2,1,1,0,0,0,0,1,0,0,0,0,0,6,2.8637257
7.6042314,0.3615551,11.258033,0.037170243,1.0986123,0.6931472,3.6109178,2,1,0,0,0,1,0,0,0,0,1,0,0,6,2.8637257
